"","entrezgene","ensembl_gene_id","mgi_id"
"51",11470,"ENSMUSG00000070979","MGI:1343051"
"52",12481,"ENSMUSG00000027863","MGI:88320"
"53",12145,"ENSMUSG00000047880","MGI:103567"
"54",22594,"ENSMUSG00000051768","MGI:99137"
"55",56405,"ENSMUSG00000018648","MGI:1927168"
"56",258822,"ENSMUSG00000059623","MGI:1313142"
"57",231252,"ENSMUSG00000029205","MGI:1202403"
"58",67236,"ENSMUSG00000021276","MGI:1914486"
"59",231717,"ENSMUSG00000044134","MGI:2442708"
"60",78912,"ENSMUSG00000018678","MGI:1926162"
"61",75305,"ENSMUSG00000014747","MGI:1922555"
"62",81016,"ENSMUSG00000096776",""
"63",13209,"ENSMUSG00000032097","MGI:104976"
"64",76630,"ENSMUSG00000024776","MGI:1923880"
"65",81017,"ENSMUSG00000096244",""
"66",231507,"ENSMUSG00000029322","MGI:2445289"
"67",56743,"ENSMUSG00000040751","MGI:1926479"
"68",320679,"ENSMUSG00000058656","MGI:2444518"
"69",66859,"ENSMUSG00000037762","MGI:1914109"
"70",26877,"ENSMUSG00000034780","MGI:1349403"
"71",69536,"ENSMUSG00000032579","MGI:1916786"
"72",235472,"ENSMUSG00000036030","MGI:2444710"
"73",20404,"ENSMUSG00000028488","MGI:700009"
"74",16158,"ENSMUSG00000095623",""
"75",100042555,"ENSMUSG00000095623",""
"76",21766,"ENSMUSG00000014748","MGI:1096575"
"77",170822,"ENSMUSG00000025437","MGI:2159711"
"78",24047,"ENSMUSG00000094661",""
"79",64540,"ENSMUSG00000025511","MGI:1928097"
"80",18829,"ENSMUSG00000095320",""
"81",20672,"ENSMUSG00000046470","MGI:103559"
"82",13048,"ENSMUSG00000042589","MGI:107321"
"83",11911,"ENSMUSG00000042406","MGI:88096"
"84",22363,"ENSMUSG00000059280","MGI:98937"
"85",23908,"ENSMUSG00000040151","MGI:1346049"
"86",258554,"ENSMUSG00000049028","MGI:3030707"
"87",21975,"ENSMUSG00000002814","MGI:1197527"
"88",57438,"ENSMUSG00000026977","MGI:1931053"
"89",18315,"ENSMUSG00000066896","MGI:109317"
"90",75199,"ENSMUSG00000096788","MGI:3770272"
"91",100040016,"ENSMUSG00000096788","MGI:3770272"
"92",66538,"ENSMUSG00000051518","MGI:1913788"
"93",69737,"ENSMUSG00000027394","MGI:1916987"
"94",546161,"ENSMUSG00000074059","MGI:3505704"
"95",13353,"ENSMUSG00000003531","MGI:1202877"
"96",53416,"ENSMUSG00000027030","MGI:1858416"
"97",98985,"ENSMUSG00000027079","MGI:2138968"
"98",13117,"ENSMUSG00000066072","MGI:88611"
"99",434377,"ENSMUSG00000045519","MGI:1915280"
"100",384281,"ENSMUSG00000029536","MGI:1923776"
"101",18383,"ENSMUSG00000063727","MGI:109587"
"102",23863,"ENSMUSG00000053226","MGI:1344365"
"103",240047,"ENSMUSG00000023903","MGI:2443938"
"104",20494,"ENSMUSG00000023073","MGI:1201406"
"105",246103,"ENSMUSG00000021738","MGI:2179277"
"106",18676,"ENSMUSG00000038025","MGI:1338034"
"107",246747,"ENSMUSG00000044405","MGI:2675492"
"108",101544,"ENSMUSG00000066721","MGI:2141921"
"109",13009,"ENSMUSG00000030470","MGI:1330824"
"110",102060,"ENSMUSG00000033751","MGI:1914947"
"111",69482,"ENSMUSG00000091900","MGI:3782538"
"112",67305,"ENSMUSG00000028597","MGI:1914555"
"113",382109,"ENSMUSG00000059547","MGI:3646662"
"114",382209,"ENSMUSG00000059626","MGI:3770274"
"115",231162,"ENSMUSG00000062329","MGI:2684993"
"116",239556,"ENSMUSG00000022416","MGI:2178051"
"117",239447,"ENSMUSG00000038591","MGI:3606482"
"118",56372,"ENSMUSG00000030663","MGI:1929274"
"119",76969,"ENSMUSG00000027221","MGI:1924219"
"120",100710,"ENSMUSG00000034021","MGI:2140945"
"121",63955,"ENSMUSG00000040957","MGI:1927065"
"122",353172,"ENSMUSG00000029777","MGI:2449057"
"123",23965,"ENSMUSG00000031561","MGI:1345183"
"124",68612,"ENSMUSG00000001403","MGI:1915862"
"125",212733,"ENSMUSG00000043782","MGI:2388267"
"126",56291,"ENSMUSG00000053205","MGI:1891150"
"127",269784,"ENSMUSG00000064293","MGI:1095737"
"128",50934,"ENSMUSG00000022180","MGI:1355323"
"131",108961,"ENSMUSG00000046179","MGI:1922038"
"132",194856,"ENSMUSG00000071770","MGI:3613390"
"133",19358,"ENSMUSG00000003813","MGI:105126"
"134",54342,"ENSMUSG00000037722","MGI:1858963"
"135",105853,"ENSMUSG00000024479","MGI:2146021"
"136",17701,"ENSMUSG00000048450","MGI:97168"
"137",21400,"ENSMUSG00000059540","MGI:107368"
"138",93960,"ENSMUSG00000031661","MGI:2135954"
"139",68753,"ENSMUSG00000068745","MGI:1916003"
"140",30800,"ENSMUSG00000018620","MGI:1353466"
"141",243931,"ENSMUSG00000021217","MGI:2442819"
"142",93837,"ENSMUSG00000025592","MGI:1890446"
"143",12337,"ENSMUSG00000035547","MGI:1100859"
"144",53600,"ENSMUSG00000069622","MGI:3704362"
"145",22384,"ENSMUSG00000040731","MGI:1341822"
"146",385263,"ENSMUSG00000074655","MGI:2686373"
"147",74711,"ENSMUSG00000074673","MGI:1913589"
"148",67334,"ENSMUSG00000040456","MGI:1914584"
"149",320541,"ENSMUSG00000042202","MGI:2444240"
"150",69836,"ENSMUSG00000009646","MGI:1917086"
"151",14459,"ENSMUSG00000017165","MGI:104768"
"152",18133,"ENSMUSG00000037362","MGI:109185"
"153",64657,"ENSMUSG00000034729","MGI:1928139"
"154",386612,"ENSMUSG00000041319","MGI:2677480"
"155",19125,"ENSMUSG00000003526","MGI:97770"
"156",13642,"ENSMUSG00000001300","MGI:105097"
"157",665943,"ENSMUSG00000094337",""
"158",16554,"ENSMUSG00000060012","MGI:1098265"
"159",67610,"ENSMUSG00000050079","MGI:1914860"
"160",74375,"ENSMUSG00000029708","MGI:1921625"
"161",16563,"ENSMUSG00000021693","MGI:108390"
"162",225608,"ENSMUSG00000045629","MGI:2444417"
"163",236643,"ENSMUSG00000054453","MGI:2668451"
"164",239099,"ENSMUSG00000057156","MGI:2678023"
"165",330812,"ENSMUSG00000047747","MGI:2443860"
"166",67292,"ENSMUSG00000026698","MGI:1914542"
"167",22066,"ENSMUSG00000027748","MGI:109525"
"168",68910,"ENSMUSG00000068551","MGI:1916160"
"169",66071,"ENSMUSG00000064254","MGI:1913321"
"170",54426,"ENSMUSG00000029102","MGI:1859281"
"171",26563,"ENSMUSG00000035305","MGI:1347520"
"172",16000,"ENSMUSG00000020053","MGI:96432"
"173",66413,"ENSMUSG00000021737","MGI:1913663"
"174",15184,"ENSMUSG00000008855","MGI:1333784"
"177",56363,"ENSMUSG00000026109","MGI:1861735"
"178",230233,"ENSMUSG00000028431","MGI:1914544"
"179",208665,"ENSMUSG00000038641","MGI:2384785"
"180",17199,"ENSMUSG00000074037","MGI:99456"
"181",22688,"ENSMUSG00000063108","MGI:99173"
"182",78286,"ENSMUSG00000052512","MGI:2183691"
"183",13983,"ENSMUSG00000021055","MGI:109392"
"184",22152,"ENSMUSG00000062380","MGI:107813"
"185",71101,"ENSMUSG00000037355","MGI:1918351"
"186",20017,"ENSMUSG00000027395","MGI:108014"
"187",319651,"ENSMUSG00000033364","MGI:2442483"
"188",230767,"ENSMUSG00000040795","MGI:2446212"
"189",232970,"ENSMUSG00000074277","MGI:3642959"
"190",233765,"ENSMUSG00000045659","MGI:2445094"
"191",18302,"ENSMUSG00000009654","MGI:1201782"
"192",21925,"ENSMUSG00000017300","MGI:98780"
"193",15563,"ENSMUSG00000039106","MGI:96283"
"194",56174,"ENSMUSG00000034744","MGI:1860418"
"195",103967,"ENSMUSG00000040265","MGI:1341299"
"196",237010,"ENSMUSG00000025597","MGI:2442829"
"197",72434,"ENSMUSG00000057454","MGI:1919684"
"198",231070,"ENSMUSG00000045294","MGI:1916289"
"199",67889,"ENSMUSG00000026889","MGI:1915139"
"200",104859,"ENSMUSG00000021275","MGI:2144865"
"201",71607,"ENSMUSG00000031662","MGI:1918857"
"202",56746,"ENSMUSG00000062773","MGI:1930791"
"203",12922,"ENSMUSG00000003476","MGI:894312"
"204",237782,"ENSMUSG00000049323","MGI:2444720"
"205",108151,"ENSMUSG00000040254","MGI:1860118"
"206",22348,"ENSMUSG00000037771","MGI:1194488"
"207",243937,"ENSMUSG00000043456","MGI:1926102"
"208",12156,"ENSMUSG00000027358","MGI:88177"
"209",99412,"ENSMUSG00000002546","MGI:2139395"
"210",18120,"ENSMUSG00000007338","MGI:108180"
"211",353502,"ENSMUSG00000023904","MGI:2663619"
"212",53605,"ENSMUSG00000058799","MGI:1855693"
"213",11752,"ENSMUSG00000021950","MGI:1201374"
"214",17393,"ENSMUSG00000018623","MGI:103189"
"215",71883,"ENSMUSG00000029319","MGI:1919133"
"216",217031,"ENSMUSG00000018651","MGI:2144471"
"217",11475,"ENSMUSG00000035783","MGI:87909"
"218",338363,"ENSMUSG00000049411","MGI:2442435"
"219",14109,"ENSMUSG00000038274","MGI:102547"
"220",107477,"ENSMUSG00000023979","MGI:1194489"
"221",20425,"ENSMUSG00000020534","MGI:98299"
"222",69976,"ENSMUSG00000027207","MGI:1917226"
"223",27279,"ENSMUSG00000023905","MGI:1351484"
"224",434758,"ENSMUSG00000071769","MGI:3704137"
"225",20324,"ENSMUSG00000045954","MGI:99513"
"226",381356,"ENSMUSG00000015488","MGI:1924317"
"227",21848,"ENSMUSG00000029833","MGI:109275"
"228",65079,"ENSMUSG00000043811","MGI:2136886"
"229",109019,"ENSMUSG00000026107","MGI:1923258"
"230",69076,"ENSMUSG00000029535","MGI:1916326"
"231",257632,"ENSMUSG00000055994","MGI:2429397"
"232",68038,"ENSMUSG00000025512","MGI:1915288"
"233",23854,"ENSMUSG00000001482","MGI:1346331"
"234",54419,"ENSMUSG00000023906","MGI:1859284"
"235",78709,"ENSMUSG00000050074","MGI:1925959"
"236",14913,"ENSMUSG00000023982","MGI:102770"
"237",15114,"ENSMUSG00000006930","MGI:1261831"
"238",14102,"ENSMUSG00000024778","MGI:95484"
"239",80976,"ENSMUSG00000027220","MGI:1933945"
"240",74251,"ENSMUSG00000037904","MGI:1921501"
"241",27801,"ENSMUSG00000060166","MGI:1338012"
"242",71310,"ENSMUSG00000031709","MGI:1918560"
"243",252972,"ENSMUSG00000032741","MGI:2182472"
"244",239114,"ENSMUSG00000050222","MGI:2446510"
"245",73166,"ENSMUSG00000024799","MGI:1920416"
"246",12861,"ENSMUSG00000041697","MGI:103099"
"247",56863,"ENSMUSG00000066720","MGI:1913100"
"248",56742,"ENSMUSG00000068744","MGI:1913099"
"249",74155,"ENSMUSG00000028967","MGI:1921405"
"250",268930,"ENSMUSG00000023908","MGI:2137630"
"251",16523,"ENSMUSG00000030247","MGI:1100508"
"252",19777,"ENSMUSG00000030421","MGI:1342294"
"253",75462,"ENSMUSG00000047150","MGI:1922712"
"254",76485,"ENSMUSG00000021916","MGI:1923735"
"255",58866,"ENSMUSG00000032098","MGI:1926230"
"256",58994,"ENSMUSG00000031906","MGI:1927578"
"257",19202,"ENSMUSG00000006200","MGI:1202888"
"258",16885,"ENSMUSG00000029674","MGI:104572"
"259",12642,"ENSMUSG00000050370","MGI:1333869"
"260",71116,"ENSMUSG00000029125","MGI:1918366"
"261",75097,"ENSMUSG00000047079","MGI:1922347"
"262",76498,"ENSMUSG00000023909","MGI:1923748"
"263",19385,"ENSMUSG00000005732","MGI:96269"
"264",16889,"ENSMUSG00000024781","MGI:96789"
"265",382239,"ENSMUSG00000072995","MGI:2685989"
"266",18606,"ENSMUSG00000022425","MGI:1321390"
"267",73016,"ENSMUSG00000040680","MGI:1920266"
"268",17690,"ENSMUSG00000054256","MGI:107376"
"269",224833,"ENSMUSG00000034382","MGI:2146908"
"270",76789,"ENSMUSG00000033186","MGI:1924039"
"271",213788,"ENSMUSG00000074939","MGI:109248"
"272",100039319,"ENSMUSG00000067441","MGI:3642445"
"273",245583,"ENSMUSG00000063242","MGI:3800824"
"274",215493,"ENSMUSG00000028794","MGI:2685279"
"275",77744,"ENSMUSG00000022070","MGI:1924994"
"276",74268,"ENSMUSG00000003604","MGI:1921518"
"277",22751,"ENSMUSG00000031907","MGI:104786"
"278",224613,"ENSMUSG00000040097","MGI:2442638"
"279",17906,"ENSMUSG00000013936","MGI:97272"
"281",17444,"ENSMUSG00000042351","MGI:1333842"
"282",77772,"ENSMUSG00000042672","MGI:1925022"
"283",547168,"ENSMUSG00000071767","MGI:3580246"
"284",20346,"ENSMUSG00000028883","MGI:107558"
"285",18378,"ENSMUSG00000074006","MGI:97436"
"286",93728,"ENSMUSG00000034732","MGI:2136401"
"287",232972,"ENSMUSG00000045587","MGI:2681843"
"288",20928,"ENSMUSG00000030249","MGI:1352630"
"289",230594,"ENSMUSG00000034610","MGI:2445126"
"290",63856,"ENSMUSG00000023980","MGI:1926879"
"291",272411,"ENSMUSG00000074004","MGI:3039603"
"292",76917,"ENSMUSG00000023911","MGI:1924167"
"293",54369,"ENSMUSG00000032478","MGI:1861676"
"294",104318,"ENSMUSG00000025162","MGI:1355272"
"295",218952,"ENSMUSG00000037712","MGI:2385001"
"296",213956,"ENSMUSG00000022408","MGI:2146227"
"297",66190,"ENSMUSG00000030760","MGI:1913440"
"298",210155,"ENSMUSG00000058717","MGI:3643098"
"299",13363,"ENSMUSG00000023000","MGI:94891"
"300",11555,"ENSMUSG00000045730","MGI:87938"
"301",101113,"ENSMUSG00000050373","MGI:1917729"
"302",15547,"ENSMUSG00000022721","MGI:96270"
"303",68891,"ENSMUSG00000052212","MGI:1916141"
"304",230761,"ENSMUSG00000028799","MGI:2652839"
"305",98396,"ENSMUSG00000013275","MGI:2444823"
"306",245578,"ENSMUSG00000034755","MGI:2442849"
"307",219150,"ENSMUSG00000021972","MGI:2445066"
"308",15562,"ENSMUSG00000026322","MGI:109246"
"309",74020,"ENSMUSG00000032564","MGI:1921270"
"310",213988,"ENSMUSG00000047888","MGI:2443730"
"311",75956,"ENSMUSG00000039218","MGI:1923206"
"312",107476,"ENSMUSG00000020532","MGI:108451"
"313",218236,"ENSMUSG00000038014","MGI:2446163"
"314",434768,"ENSMUSG00000064137","MGI:3579898"
"315",234023,"ENSMUSG00000040459","MGI:2442985"
"316",72135,"ENSMUSG00000034910","MGI:1919385"
"317",216820,"ENSMUSG00000042569","MGI:2384931"
"318",277666,"ENSMUSG00000046435","MGI:3650231"
"319",74775,"ENSMUSG00000022999","MGI:1289247"
"320",13172,"ENSMUSG00000030507","MGI:94867"
"321",71449,"ENSMUSG00000026694","MGI:1918699"
"322",66654,"ENSMUSG00000032065","MGI:1913904"
"323",623661,"ENSMUSG00000037216","MGI:3645211"
"324",235599,"ENSMUSG00000037977","MGI:2445137"
"325",54561,"ENSMUSG00000055733","MGI:1859565"
"326",319583,"ENSMUSG00000049717","MGI:1335098"
"327",241525,"ENSMUSG00000034059","MGI:3605071"
"328",21937,"ENSMUSG00000030341","MGI:1314884"
"329",12905,"ENSMUSG00000045867","MGI:1336168"
"330",16173,"ENSMUSG00000039217","MGI:107936"
"331",382090,"ENSMUSG00000056919","MGI:1925343"
"332",53415,"ENSMUSG00000039745","MGI:1859271"
"333",104384,"ENSMUSG00000068048","MGI:1890128"
"334",15442,"ENSMUSG00000035273","MGI:1343124"
"335",226422,"ENSMUSG00000026433","MGI:2385107"
"336",58184,"ENSMUSG00000026174","MGI:1928902"
"337",107035,"ENSMUSG00000042211","MGI:2444639"
"338",73914,"ENSMUSG00000020227","MGI:1921164"
"339",67673,"ENSMUSG00000055839","MGI:1914923"
"340",26366,"ENSMUSG00000054169","MGI:1347248"
"341",71699,"ENSMUSG00000030089","MGI:1918949"
"342",19325,"ENSMUSG00000020671","MGI:105066"
"343",12560,"ENSMUSG00000061048","MGI:88356"
"344",353130,"ENSMUSG00000049620","MGI:2661234"
"345",12445,"ENSMUSG00000034165","MGI:88315"
"346",381534,"ENSMUSG00000069733","MGI:3588216"
"347",69028,"ENSMUSG00000026088","MGI:1916278"
"348",194227,"ENSMUSG00000066031","MGI:3650478"
"349",232973,"ENSMUSG00000062732","MGI:2687054"
"350",15958,"ENSMUSG00000045932","MGI:99449"
"351",68043,"ENSMUSG00000021951","MGI:1915293"
"352",66548,"ENSMUSG00000043822","MGI:1913798"
"353",74528,"ENSMUSG00000027424","MGI:1921778"
"354",226243,"ENSMUSG00000025075","MGI:1196378"
"355",16570,"ENSMUSG00000020668","MGI:107979"
"356",216821,"ENSMUSG00000043284","MGI:2144726"
"357",109275,"ENSMUSG00000037761","MGI:1924748"
"358",319618,"ENSMUSG00000041477","MGI:2442404"
"359",66878,"ENSMUSG00000024404","MGI:1914128"
"360",71003,"ENSMUSG00000024114","MGI:1918253"
"361",66925,"ENSMUSG00000000171","MGI:1914175"
"362",98415,"ENSMUSG00000026434","MGI:1934811"
"363",13799,"ENSMUSG00000039095","MGI:95390"
"364",15959,"ENSMUSG00000074896","MGI:1101055"
"365",11844,"ENSMUSG00000020440","MGI:99434"
"366",12447,"ENSMUSG00000002068","MGI:88316"
"367",194735,"ENSMUSG00000068046","MGI:3588265"
"368",71929,"ENSMUSG00000050912","MGI:1919179"
"369",24083,"ENSMUSG00000018931","MGI:1344388"
"370",12823,"ENSMUSG00000026141","MGI:1095415"
"371",68904,"ENSMUSG00000040396","MGI:1916154"
"372",30057,"ENSMUSG00000039016","MGI:1353424"
"373",67448,"ENSMUSG00000026748","MGI:1914698"
"374",71721,"ENSMUSG00000043259","MGI:1918971"
"375",237029,"ENSMUSG00000058670","MGI:3045322"
"376",75732,"ENSMUSG00000029601","MGI:1922982"
"377",17938,"ENSMUSG00000061315","MGI:106095"
"378",212980,"ENSMUSG00000026435","MGI:1922082"
"379",66298,"ENSMUSG00000074447","MGI:1913548"
"380",270156,"ENSMUSG00000059820","MGI:2143205"
"381",211208,"ENSMUSG00000062791","MGI:2685228"
"382",71974,"ENSMUSG00000030505","MGI:1919224"
"383",434769,"ENSMUSG00000053909","MGI:3580249"
"384",53330,"ENSMUSG00000026696","MGI:1858730"
"385",667370,"ENSMUSG00000062488","MGI:3698419"
"386",17912,"ENSMUSG00000018417","MGI:107752"
"387",231134,"ENSMUSG00000044716","MGI:3584043"
"388",216233,"ENSMUSG00000020027","MGI:1201787"
"389",16430,"ENSMUSG00000032116","MGI:105124"
"390",170789,"ENSMUSG00000017307","MGI:2158201"
"391",497114,"ENSMUSG00000074446","MGI:3630381"
"392",112419,"ENSMUSG00000067297","MGI:2148249"
"393",69814,"ENSMUSG00000048992","MGI:1917064"
"394",235028,"ENSMUSG00000059475","MGI:1920248"
"395",75302,"ENSMUSG00000037486","MGI:1922552"
"396",13714,"ENSMUSG00000026436","MGI:102853"
"397",30877,"ENSMUSG00000042354","MGI:1353651"
"398",18802,"ENSMUSG00000026173","MGI:107469"
"399",194738,"ENSMUSG00000051038","MGI:2681831"
"400",26397,"ENSMUSG00000018932","MGI:1346868"
"401",245945,"ENSMUSG00000070780","MGI:2384294"
"402",244152,"ENSMUSG00000049580","MGI:2443855"
"403",217864,"ENSMUSG00000037896","MGI:106340"
"404",73246,"ENSMUSG00000029370","MGI:1920496"
"405",66264,"ENSMUSG00000028795","MGI:1913514"
"406",54004,"ENSMUSG00000034480","MGI:1858500"
"407",52174,"ENSMUSG00000028857","MGI:1098568"
"408",107734,"ENSMUSG00000026087","MGI:1333820"
"409",232431,"ENSMUSG00000046733","MGI:1891250"
"410",382282,"ENSMUSG00000071766","MGI:2685994"
"411",57258,"ENSMUSG00000021952","MGI:1888526"
"412",15957,"ENSMUSG00000034459","MGI:99450"
"413",57320,"ENSMUSG00000028964","MGI:2135637"
"414",57256,"ENSMUSG00000024116","MGI:1916698"
"415",17926,"ENSMUSG00000026697","MGI:1202864"
"416",66205,"ENSMUSG00000060703","MGI:1913455"
"417",15112,"ENSMUSG00000027261","MGI:96011"
"418",83395,"ENSMUSG00000038560","MGI:1932575"
"419",71241,"ENSMUSG00000011349","MGI:1918491"
"420",258387,"ENSMUSG00000052417","MGI:3030554"
"421",78908,"ENSMUSG00000042035","MGI:1926158"
"422",67525,"ENSMUSG00000041000","MGI:1914775"
"423",55935,"ENSMUSG00000008200","MGI:1860513"
"424",18330,"ENSMUSG00000072707","MGI:109304"
"425",56805,"ENSMUSG00000048047","MGI:1927290"
"426",93746,"ENSMUSG00000030205","MGI:1935037"
"427",66246,"ENSMUSG00000006289","MGI:1913496"
"428",217140,"ENSMUSG00000020877","MGI:1343092"
"429",269637,"ENSMUSG00000044681","MGI:2442451"
"430",67538,"ENSMUSG00000045822","MGI:1914788"
"431",16188,"ENSMUSG00000068758","MGI:96553"
"432",80384,"ENSMUSG00000021056","MGI:1931131"
"433",20311,"ENSMUSG00000029371","MGI:1096868"
"434",215999,"ENSMUSG00000009647","MGI:3026965"
"435",213006,"ENSMUSG00000059149","MGI:2442786"
"436",22143,"ENSMUSG00000023004","MGI:107804"
"437",19893,"ENSMUSG00000031174","MGI:1344037"
"438",15259,"ENSMUSG00000027177","MGI:1314882"
"439",100764,"ENSMUSG00000029600","MGI:1922021"
"440",18704,"ENSMUSG00000030660","MGI:1203729"
"441",240638,"ENSMUSG00000009378","MGI:2147716"
"442",13184,"ENSMUSG00000096445","MGI:105949"
"443",66292,"ENSMUSG00000054312","MGI:1913542"
"444",20192,"ENSMUSG00000057378","MGI:99684"
"445",57349,"ENSMUSG00000029372","MGI:1888712"
"446",22031,"ENSMUSG00000021277","MGI:108041"
"447",54673,"ENSMUSG00000037062","MGI:1859730"
"448",191578,"ENSMUSG00000035266","MGI:2176740"
"449",75524,"ENSMUSG00000058935","MGI:1922774"
"450",56744,"ENSMUSG00000029373","MGI:1888711"
"451",12833,"ENSMUSG00000001119","MGI:88459"
"452",101023,"ENSMUSG00000043059","MGI:2141255"
"453",53414,"ENSMUSG00000023988","MGI:1858419"
"454",56808,"ENSMUSG00000010066","MGI:1929813"
"455",630537,"ENSMUSG00000096278","MGI:3644062"
"456",20085,"ENSMUSG00000040952","MGI:1333780"
"457",245386,"ENSMUSG00000036502","MGI:3045722"
"458",21858,"ENSMUSG00000017466","MGI:98753"
"459",233545,"ENSMUSG00000035401","MGI:1924203"
"460",270711,"ENSMUSG00000039508","MGI:2685489"
"461",108156,"ENSMUSG00000021048","MGI:1342005"
"462",56351,"ENSMUSG00000071072","MGI:1929282"
"463",12550,"ENSMUSG00000000303","MGI:88354"
"464",326623,"ENSMUSG00000050395","MGI:2180140"
"465",328971,"ENSMUSG00000044176","MGI:3584533"
"466",387314,"ENSMUSG00000030306","MGI:3039590"
"467",12537,"ENSMUSG00000029062","MGI:88353"
"468",103511,"ENSMUSG00000049872","MGI:2143897"
"469",228852,"ENSMUSG00000037754","MGI:2151841"
"470",620253,"ENSMUSG00000057417","MGI:3646420"
"471",12908,"ENSMUSG00000026853","MGI:109501"
"472",332427,"ENSMUSG00000061584","MGI:2685622"
"473",214290,"ENSMUSG00000035248","MGI:2387179"
"474",226562,"ENSMUSG00000040225","MGI:1913754"
"475",20234,"ENSMUSG00000024128","MGI:106021"
"476",94223,"ENSMUSG00000022718","MGI:2151114"
"477",19065,"ENSMUSG00000048337","MGI:105374"
"478",320508,"ENSMUSG00000028532","MGI:2444177"
"479",67557,"ENSMUSG00000034839","MGI:1914807"
"480",22142,"ENSMUSG00000072235","MGI:98869"
"481",13528,"ENSMUSG00000071454","MGI:1203728"
"482",68505,"ENSMUSG00000024797","MGI:1915755"
"483",56771,"ENSMUSG00000092558","MGI:1929648"
"484",67871,"ENSMUSG00000026887","MGI:1915121"
"485",71990,"ENSMUSG00000029599","MGI:1919240"
"486",14013,"ENSMUSG00000027684","MGI:95457"
"487",66170,"ENSMUSG00000037938","MGI:1913420"
"488",72565,"ENSMUSG00000034485","MGI:1919815"
"489",242669,"ENSMUSG00000028789","MGI:2442093"
"490",56223,"ENSMUSG00000029707","MGI:1890386"
"491",13717,"ENSMUSG00000029675","MGI:95317"
"492",76629,"ENSMUSG00000040576","MGI:1923879"
"493",76482,"ENSMUSG00000024410","MGI:1916528"
"494",638345,"ENSMUSG00000024125","MGI:3694550"
"495",75735,"ENSMUSG00000033610","MGI:1922985"
"496",57255,"ENSMUSG00000008843","MGI:1913102"
"497",279653,"ENSMUSG00000051323","MGI:2685563"
"498",22146,"ENSMUSG00000043091","MGI:1095409"
"499",68180,"ENSMUSG00000006395","MGI:1915430"
"500",11564,"ENSMUSG00000022407","MGI:103202"
"501",215900,"ENSMUSG00000046031","MGI:2443082"
"502",15199,"ENSMUSG00000042770","MGI:1333880"
"503",12796,"ENSMUSG00000038357","MGI:108443"
"504",16591,"ENSMUSG00000058488","MGI:1101771"
"505",56470,"ENSMUSG00000002458","MGI:1915153"
"506",212898,"ENSMUSG00000039497","MGI:2443455"
"507",22214,"ENSMUSG00000039159","MGI:104632"
"508",494504,"ENSMUSG00000071847","MGI:3513977"
